ald	3906
cm	1045520
cit	1171825
vlo	1035002
envk	1065677
ddrx	947661
nsol	1116112
pwrm	1063530
ccci	773394
igdce	915461
rsau	1106207
egsr	1029402
phfrq	353827
mymx	927761
cdci	1035398
glbt	810932
ctfg	1201259
gllc	895041
wdmg	1120411
dpat	1103017
amen	1037599
beic	763245
avcs	315428
vgcp	886093
kepi	1100748
trdq	29322
rhwi	1088734
htvl	1126960
sevt	1057807
ibzt	1079893
blpt	1081376
flcr	1127993
nxco	1053113
bpac	1109153
uama	1096688
isto	1094365
ieib	717751
teng	919721
wlbr	107469
tlnt	810018
lthu	804154
rpmm	1099150
pbox	879703
appi	943535
tofs	1016611
utrx	835270
nlef	806175
pdmi	916444
serw	1116884
menb	919134
msvs	1082285
crli	725897
azia	1073876
blvt	317889
pntv	1037131
lchl	1109219
iply	1057232
scei	1120096
uvslq	931457
gbmr	1021226
ybao	822997
ceaq	1060426
cmdzq	230131
modm	902635
vftr	1103760
gsgl	1076262
bdlf	748268
abds	895380
pmdl	814057
ibxg	1113677
chif	717228
mpml	799268
agoe	278165
pyraq	79225
skbi	1076939
grem	1084983
mpwe	1024095
rthg	1112279
mdjt	932265
mhui	1080973
ivit	1212570
esgi	789879
tewi	1080398
pmei	1082822
cscx	1323115
wal	1212545
igne	793160
msfg	720002
supx	730000
cbbo	1010002
csu	1043000
nick	1000045
nutr	1050007
biph	1084000
nwtb	1080008
sfst	1090009
mfin	1000209
iasg	1200022
ktyb	1000232
imp	1000234
trfx	1000297
swm	1000623
nvax	1000694
air	1750
abt	1800
acet	2034
acu	2098
acs	2135
ae	2178
amd	2488
byi	2491
arxx	2601
aem	2809
apd	2969
akrx	3116
akzoy	3124
aso	3133
abs	3333
ikn	3370
alx	3499
alco	3545
lng	3570
aorgb	3753
adg	3952
aly	3982
swks	4127
hes	4447
uhal	4457
aep	4904
axp	4962
afl	4977
wye	5187
aig	5272
aip	5337
unm	5513
asei	5768
avd	5981
ap	6176
axr	6207
ancpa	6260
adi	6281
alog	6284
anly	6292
anen	6314
kto	6720
apa	6769
apog	6845
ssi	6885
amat	6951
atu	6955
adm	7084
swn	7332
arw	7536
asb	7789
atro	8063
aame	8177
atw	8411
cbauf	8565
adp	8670
avy	8818
avt	8858
avp	8868
azz	8947
bmi	9092
bkfg	9235
bkr	9263
bcpc	9326
bez	9342
ptvca	9346
bll	9389
bdg	9534
bns	9631
bre	9677
fchd	9779
bn	9801
bcr	9892
brn	10048
brl	10081
bset	10329
bol	10427
bax	10456
bdx	10795
bms	11199
wrb	11544
bdk	12355
hrb	12659
blrgz	12779
ba	12927
omx	12978
bwla	13573
wedc	13606
bne	13610
brer	14073
brid	14177
bgg	14195
bmy	14272
bfb	14693
brt	14846
bc	14930
mtz	15615
cbt	16040
caci	16058
lub	16099
calm	16160
cafi	16614
cpb	16732
csplf	16804
cni	16868
nxy	16873
cp	16875
stz	16918
caj	16988
cswc	17313
crs	17843
csiof	18122
cat	18230
cato	18255
snv	18349
cdi	18396
gco	18498
ctx	18532
cbss	18568
atxch	18734
cv	18808
ctl	18926
crdn	18937
char	19252
mgln	19411
cmd	19446
chtt	19520
che	19584
tcf	19612
jpm	19617
cskeq	19731
cpk	19745
chdn	20212
cinf	20286
ftr	20520
css	20629
clc	20740
clx	21076
cna	21175
cohm	21212
ko	21344
cohr	21510
cohu	21535
cl	21665
cmro	22252
cbsh	22356
cmc	22444
tvly	22551
jcs	22701
chzs	23019
atsn	23071
csc	23082
ctg	23111
crk	23194
cmtl	23197
cag	23217
ctci	23259
sle	23666
cnw	23675
cto	23795
cia	24090
ctb	24491
tap	24545
glw	24741
csli	25118
cfc	25191
crrc	25212
cuz	25232
cpicq	25354
cr	25445
crdb	25475
atx	25793
cts	26058
cub	26076
cmi	26172
cw	26324
stst	26537
dnpcf	26577
dan	26780
pxg	26820
dscp	27096
dxr	27367
tgt	27419
dal	27904
wsrt	27960
dlx	27996
cma	28412
devc	28452
lcbm	28626
drs	28630
dbd	28823
vts	28866
dds	28917
diod	29002
dxyn	29332
dg	29534
dci	29644
rrd	29669
dov	29905
dj	29924
omc	29989
lcrd	30140
duck	30302
dco	30305
dexo	30419
fls	30625
wen	30697
drco	30822
cobr	30828
eml	31107
kodk	31235
elon	31347
ecl	31462
edo	31617
pki	31791
ee	31978
elk	32017
elrc	32166
elmg	32198
ttn	32258
emr	32604
msn	32621
ede	32689
quix	32870
ener	32878
ebf	33002
efx	33185
eqt	33213
erif	33416
esca	33488
esl	33619
bobe	33769
boom	34067
xom	34088
cle	34115
jas	34151
fdo	34408
farm	34563
srce	34782
frt	34903
foe	35214
fitb	35527
fnin	35733
ffin	36029
clgx	36047
usb	36104
trmk	36146
mtb	36270
mfnc	36506
frevs	36840
fhn	36966
fur	37008
flxs	37472
fpu	37643
fmc	37785
fnb	37808
f	37996
frx	38074
ford	38264
ohbiq	38570
fele	38725
ben	38777
feim	39020
frs	39047
frn	39135
cfr	39263
ffex	39273
ibcp	39311
ful	39368
mtrm	39547
tgnaw	39899
gps	39911
gbnd	40461
gd	40533
ge	40545
gis	40704
mtlqq	40730
gpc	40987
gp	41077
grb	41133
glt	41719
gdw	42293
gr	42542
gt	42582
grc	42682
ggg	42888
gtn	43196
gap	43300
gni	43410
gmp	43704
gef	43920
hal	45012
jh	45599
hsc	45876
hhs	45919
has	46080
boh	46195
hwkn	46250
hei	46619
hnz	46640
hp	46765
hpc	46989
hrly	47035
hsy	47111
hpq	47217
hib	47288
hrc	47518
hthiy	47710
hfc	48039
hni	48287
hrl	48465
hubb	48898
hug	49029
hum	49071
hban	49196
huskf	49279
scnya	49401
egp	49600
idsy	49615
din	49754
itw	49826
imo	49938
imkta	50493
invx	50601
itrd	50710
gff	50725
intc	50863
fbn	50957
ial	51103
ibm	51143
iff	51253
ip	51434
ipg	51644
ibciq	51666
cors	51939
iplprc	52485
plprb	52485
ifc	52617
iisl	52727
axe	52795
jec	52988
kamn	54381
frm	54441
kcli	54473
ksu	54480
wr	54507
okasy	54639
kea	54883
kei	54991
k	55067
kwd	55080
kelya	55135
kmt	55242
kbalb	55772
kmb	55785
kex	56047
knap	56362
kmtuf	56594
kfy	56679
koss	56701
pnrg	56868
kr	56873
klic	56978
kyocy	57083
lzb	57131
lms	57497
lanc	57515
lnce	57528
lci	57725
lee	58361
leg	58492
vhi	59255
vgr	59440
lly	59478
leco	59527
lnc	59558
l	60086
lfb	60302
lpx	60519
low	60667
lxu	60714
lufk	60849
cyb	60876
ldl	60977
adct	61478
meray	61975
mtw	61986
mcs	62234
mmc	62709
marsa	62737
maurf	62919
mas	62996
pcrfy	63271
mat	63276
matw	63296
mlp	63330
may	63416
myg	63541
mkc	63754
maxx	63814
mcd	63908
mmr	64279
mkty	64463
genc	64472
cmpx	64578
mel	64782
cvs	64803
mnt	64892
mrbk	64908
mcy	64996
mdp	65011
mer	65100
msb	65172
mpr	65201
mei	65270
afp	65358
sieb	65596
mvis	65770
etr	65984
msex	66004
mlan	66025
mlhr	66382
msa	66570
mgn	66649
mmm	66740
ale	66756
emq	66901
ila	66960
mufg	67088
mitsy	67099
dy	67215
mod	67347
molx	67472
mcem	67517
mnr	67625
mdu	67716
moga	67887
rt	68270
mtsc	68709
mye	69488
nssc	69633
nafc	69671
fizz	69891
ncc	69970
ndc	70033
nfg	70145
thc	70318
gpx	70415
nrc	70487
nty	70793
bac	70858
ncr	70866
tnm	71023
lipd	71478
nyt	71691
nr	71829
nipny	72127
nl	72162
nobh	72205
nbl	72207
nold	72243
ndsn	72331
jwn	72333
mov	72573
nrt	72633
xel	72903
nrtlq	72911
nxg	72931
wfc	72971
ntrs	73124
nue	73309
oii	73756
brsw	73887
ocas	73952
odc	74046
udr	74208
ori	74260
oln	74303
oneiq	74585
gosha	75042
osg	75208
omi	75252
pcar	75362
mercs	75659
pkg	75677
pxr	75681
pdyn	76174
pke	76267
pkoh	76282
ph	76334
pvac	77159
pei	77281
pnr	77360
pgl	77385
pby	77449
pep	77476
tpc	77543
seh	77597
petd	77877
pfe	78003
wtr	78128
pvh	78239
pny	78460
dine	78536
pio	78706
agys	78749
pbi	78814
bco	78890
bro	79282
poss	79677
ppg	79879
pcp	79958
plpc	80035
plfe	80124
npk	80172
pdq	80293
powl	80420
pg	80424
pgr	80661
kwr	81362
uslm	82020
ravn	82166
symm	82628
rbc	82811
rexi	83402
rey	83588
rad	84129
rli	84246
resc	84278
rbn	84290
rog	84748
roh	84792
rol	84839
rdc	85408
rowc	85417
rdpl	85486
rgld	85535
rdk	85704
rml	85812
r	85961
ryl	85974
saf	86104
sfe	86115
swy	86144
trv	86312
slb	87347
shlm	87565
sfa	87777
scrb	88095
seb	88121
smtc	88941
seneb	88948
sci	89089
sli	89270
mli	89439
shw	89800
sial	90185
sili	90283
sfnc	90498
sky	90896
aos	91142
sfd	91388
sjm	91419
sna	91440
key	91576
snsta	91741
son	91767
sji	91928
so	92122
bbt	92230
luv	92380
swwc	92472
spa	92679
spec	92769
smsc	93384
smp	93389
cvx	93410
srct	93456
enczq	93542
swk	93556
scx	93676
stt	93751
scl	94049
stc	94344
stk	94673
srr	94887
rgr	95029
rden	95052
smtoy	95227
sqaa	95301
svu	95521
sup	95552
sgc	95574
ptmk	95585
synl	95953
syy	96021
bbao	96287
rshcq	96289
tsty	96412
advnq	96638
tnl	96763
tecu	96831
trc	96869
tek	96879
tfx	96943
tnc	97134
amic	97196
ter	97210
tex	97216
txi	97472
txn	97476
tpl	97517
tmo	97745
tnb	97854
tdw	98222
tif	98246
tkr	98362
tpy	98410
tod	98537
rum	98544
tr	98677
trgl	98720
totdf	98790
nyfx	99047
ty	99614
trn	99780
twin	100378
tsn	100493
ualaq	100517
unam	100716
ufi	100726
unp	100885
cqb	101063
ufcs	101199
uic	101271
umbf	101382
useg	101594
mro	101778
utx	101829
s	101830
ueic	101984
uvv	102037
cttc	102198
uvsp	102212
urs	102379
vmi	102729
vsec	102752
trr	103096
veco	103145
qfab	103341
vfc	103379
vlgea	103595
vsh	103730
volt	103872
wacly	104040
wmt	104169
wre	104894
ava	104918
wjci	105006
wso	105016
wdfc	105132
wmk	105418
eme	105634
wst	105770
wdc	106040
nval	106374
wlba	106455
weys	106532
wy	106535
whr	106640
wtny	106926
jwa	107140
wmb	107263
wlse	107454
winn	107681
wgo	107687
wdhd	108215
wrld	108385
wor	108516
wwy	108601
yorw	108985
zlc	109156
tjx	109198
znt	109261
ait	109563
arb	109758
kubty	109821
nikof	110082
un	110390
fto	110430
www	110471
rpm	110621
chz	200138
jnj	200406
tlm	201283
cyn	201461
dcai	201653
lkii	202375
ars	202890
cptp	202947
stj	203077
tdk	203383
var	203527
wsbc	203596
kri	205520
axys	206030
vlcy	215219
cerg	215403
ckp	215419
cde	215466
grbe	216039
hvt	216085
itt	216228
jlg	216275
disk	216324
meg	216539
apn	217084
txt	217346
ardna	225051
cva	225648
rkt	230498
sigi	230557
natr	275053
bylk	275119
ctws	276209
pcyo	276720
uwn	277058
gww	277135
sen	277158
dgas	277375
egn	277595
cred	277924
csx	277948
ishc	278041
pir	278130
cvco	278166
sbl	278352
sxt	310142
mrk	310158
canr	310316
sxi	310354
ctco	310433
fnma	310522
mscc	310568
syk	310764
wabc	311094
su	311337
mtix	311407
ptnx	311505
ppd	311657
ptbt	311871
hae	313143
phg	313216
trcy	313337
mtr	313364
txco	313395
hkni	313478
dhr	313616
hdng	313716
lqi	313749
bp	313807
sne	313838
chd	313927
fltw	314132
buse	314489
hdlm	314727
val	314808
elrnf	315126
phx	315131
de	315189
rhi	315213
aon	315293
hurc	315374
uqm	315449
iboc	315709
scix	315816
sgb	315849
rrc	315852
hot	316206
enz	316253
sch	316709
irf	316793
andw	317093
coke	317540
tlab	317771
ricof	317891
amgn	318154
pebo	318300
dna	318771
tisi	318833
klac	319201
iris	319240
zilg	319450
mssn	319459
pbt	319654
sjt	319655
mxwl	319815
gw	320186
nke	320187
aapl	320193
gl	320335
mcrs	320345
fmfc	320387
cach	350199
phii	350403
te	350563
ccbl	350621
an	350698
ev	350797
apfc	350832
sts	350846
rigs	350847
ctbi	350852
iti	350868
seic	350894
elx	350917
imgc	351012
crbc	351077
bmet	351346
asmi	351483
abcb	351569
ansi	351721
sbow	351817
stkl	351834
ephc	351903
tvin	352079
iycly	352353
zarlf	352435
nfb	352510
lnt	352541
ugne	352747
iom	352789
fstr	352825
uhs	352915
novb	353191
ocr	353230
nvo	353278
icoc	353567
qdel	353569
bwcf	353650
hitmf	353990
ajg	354190
cvbf	354647
he	354707
fmer	354869
flir	354908
hd	354950
shen	354963
fonrd	355019
itocy	355363
tonpf	355364
pl	355429
hwg	355766
lojn	355777
gntx	355811
rell	355948
esnd	355999
ca	356028
blc	356080
emci	356130
tcbk	356171
njr	356309
frgb	356708
aanb	356809
osci	356830
xcra	357020
osbc	357173
pcbc	357264
hov	357294
trst	357301
fult	700564
fmbh	700565
npbc	700733
rcmt	700841
susq	700863
atri	701288
cmnt	701319
cpf	701347
six	701374
ecil	701544
avl	701650
ment	701811
kgc	701818
ihc	701869
mogn	702131
nsc	702165
dp	702259
fmbi	702325
boch	702513
hnbc	702902
scuaf	702983
eat	703351
idti	703361
hu	703559
laws	703604
lm	704051
nano	704532
cdmo	704562
pabk	705200
sbsi	705432
omef	705671
file	706015
hbnc	706129
chir	706539
aan	706688
utmd	706698
unb	706863
onb	707179
rgn	707511
lrcx	707549
asrv	707605
ubh	707805
pnbc	707855
ucfc	707886
acel	708717
cass	708781
mdr	708819
par	708821
fcbn	708848
dnex	708850
ffbc	708955
qmco	709283
fmnb	709337
cecx	709355
java	709519
sxcl	709804
sbr	710752
mxo	711039
amcc	711065
neog	711377
fcre	711665
cban	711669
prxm	712511
frme	712534
fcf	712537
olp	712770
cnob	712771
ffkt	713095
pars	713275
amswa	713425
dnbf	713671
pnc	713676
vly	714310
gabc	714395
nbbc	714530
thff	714562
cmty	714710
juvf	714712
amfi	714756
rnst	715072
cbh	715096
hmc	715153
wbr	715273
acnb	715579
debs	715779
ifsia	715787
d	715957
cypb	716054
cbb	716133
ftbk	716457
pwod	716605
rdib	716634
rgs	716643
clda	716646
laf	716783
mzia	716823
wcbo	717059
mscs	717238
fctr	717306
mur	717423
arow	717538
hxl	717605
valu	717720
dbrn	717724
eric	717826
fobb	717837
unf	717954
nuhc	718074
isys	718130
cmtv	718413
tbcc	718449
radn	718573
shfl	718789
foot	718903
staa	718937
bce	718940
sgk	719164
stba	719220
wbk	719245
hl	719413
cdic	719722
sivb	719739
acat	719866
wsm	719955
rjf	720005
sf	720672
itic	720858
sii	721083
nlci	721237
cah	721371
caww	721447
tss	721683
lrt	721765
lkfn	721994
tra	722079
svnt	722104
plnr	722392
hngr	722723
immu	722830
mu	723125
cbu	723188
ctas	723254
htmx	723371
stbc	723458
mcip	723527
payx	723531
culp	723603
car	723612
fred	724571
pnra	724606
nvec	724910
msel	724941
cyto	725058
mbg	725549
esio	726514
mbvt	726517
ccbg	726601
o	726728
chco	726854
casy	726958
awbc	726990
ezem	727008
cdzi	727273
enzn	727510
nhhc	728389
jbht	728535
qmed	729213
belfa	729580
osip	729922
ubsi	729986
ccbp	730030
camp	730255
tho	730263
